household_id,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2408216,0,2,1,0,0,8,99,4,2,0
2408217,1,2,1,0,0,13,99,5,2,0
2408218,0,0,0,0,0,0,99,0,0,0
2408235,0,2,0,0,0,10,99,4,2,0
2408236,0,2,1,0,0,8,99,5,2,0
2408237,0,1,1,0,42,5,8,5,2,0
2408238,0,0,0,0,0,0,99,0,0,0
2408244,0,1,2,1,22,20,7,8,2,0
2408264,0,2,0,0,0,10,99,3,2,0
2408267,0,1,1,2,36,14,8,4,2,0
2408271,0,1,1,2,43,13,11,6,2,0
2408274,0,1,1,2,50,11,8,5,2,0
2408277,0,1,1,1,36,12,9,6,2,0
2408282,0,1,1,2,59,26,22,5,2,0
2408290,0,1,1,0,25,12,0,5,2,0
2408292,0,1,2,2,38,16,18,5,2,0
2408296,0,2,1,0,0,3,99,5,2,0
2408302,0,2,2,0,0,11,99,8,2,0
2408304,0,2,0,0,0,6,99,4,2,0
2408309,0,1,1,1,42,10,3,7,2,0
2408310,0,1,1,2,40,14,9,7,2,0
2408313,0,2,1,0,0,7,99,4,2,0
2408319,0,1,1,0,59,7,6,5,2,0
2408320,1,1,2,1,50,12,4,5,2,0
2408329,0,1,1,0,39,9,11,6,2,0
2408333,0,1,1,0,59,22,13,7,2,0
2408339,0,1,1,0,54,7,8,6,2,0
2408366,0,2,1,0,0,3,99,4,2,0
2408370,0,1,2,0,58,12,13,7,2,0
2408382,0,0,0,0,0,0,99,0,0,0
2408383,0,1,1,2,36,14,5,6,2,0
2408389,0,0,0,0,0,0,99,0,0,0
2408390,0,2,1,0,0,11,99,6,2,0
2408402,0,1,2,0,39,1,6,5,2,0
2408407,0,2,1,0,0,3,99,2,2,0
2408416,0,0,0,0,0,0,99,0,0,0
2408423,0,1,2,0,24,3,0,4,2,0
2408426,0,2,1,0,0,1,99,3,2,0
2408435,0,1,2,1,59,9,35,8,2,0
2408447,0,1,1,2,59,9,16,7,2,0
2408453,0,2,1,0,0,18,99,6,2,0
2408456,0,1,2,0,59,24,35,6,2,0
2408461,0,2,1,0,0,3,99,4,2,0
2408464,0,2,1,0,0,12,99,5,2,0
2408466,0,1,1,1,40,6,4,4,2,0
2408473,0,2,1,0,0,4,99,3,2,0
2408479,0,0,0,0,0,0,99,0,0,0
2408490,0,1,1,1,59,5,7,6,2,0
2408516,0,1,1,1,59,7,11,6,2,0
2408521,0,1,1,2,43,15,13,6,2,0
2408526,0,2,1,0,0,8,99,3,2,0
2408538,0,1,0,1,0,0,5,4,2,0
2408541,0,1,1,1,14,7,3,6,2,0
2408542,0,1,1,0,0,8,1,3,2,0
2408545,0,2,1,0,0,3,99,3,2,0
2408556,0,0,0,0,0,0,99,0,0,0
2408560,0,1,1,0,40,10,9,5,2,0
2408561,0,1,1,2,38,8,8,5,2,0
2408563,0,2,1,0,0,8,99,5,2,0
2408569,0,1,1,2,50,9,11,6,2,0
2408570,0,2,1,0,0,12,99,5,2,0
2408571,0,1,1,1,34,4,3,5,2,0
2408572,0,1,1,2,32,13,16,7,2,0
2408575,0,1,1,2,40,25,13,5,2,0
2408578,0,2,1,0,0,11,99,4,2,0
2408587,0,0,0,0,0,0,99,0,0,0
2408597,0,1,1,2,9,10,9,2,2,0
2408610,0,1,1,1,7,6,8,6,2,0
2408612,0,1,1,0,16,11,0,3,2,0
2408613,0,1,1,1,59,12,18,3,2,0
2408614,0,1,1,0,50,10,8,5,2,0
2408620,0,1,1,1,59,11,16,6,2,0
2408622,0,1,1,2,59,12,9,6,2,0
2408626,0,1,1,0,59,7,27,6,2,0
2408633,0,1,1,0,49,10,18,5,2,0
2408637,0,1,1,2,40,7,9,5,2,0
2408642,0,2,1,0,0,20,99,4,2,0
2408656,0,2,1,0,0,0,99,4,2,0
2408667,0,1,1,1,30,2,7,2,2,0
2408668,0,1,1,2,52,6,6,5,2,0
2408671,0,1,1,1,59,7,6,5,2,0
2408677,0,1,1,0,38,3,0,4,2,0
2408679,0,2,1,0,0,6,99,5,2,0
2408688,0,1,1,1,50,12,9,7,2,0
2408699,0,1,2,1,34,14,13,8,2,0
2408700,0,2,1,0,0,5,99,4,2,0
2408702,0,1,1,0,30,7,4,5,2,0
2408703,0,2,1,0,0,2,99,2,2,0
2408707,0,2,1,0,0,9,99,4,2,0
2408708,1,2,2,0,0,99,99,7,2,0
2408719,1,1,2,2,59,16,27,6,2,0
2408723,0,1,1,0,59,7,3,3,2,0
2408730,0,1,1,0,36,15,22,9,2,0
2408748,0,1,1,0,23,6,5,4,2,0
2408752,0,1,2,1,59,15,45,8,2,0
2408756,0,1,1,0,39,6,8,6,2,0
2408761,0,1,1,1,46,11,13,6,2,0
2408763,0,1,1,0,43,42,22,5,2,0
2408772,0,1,1,1,59,11,22,5,2,0
2408789,0,0,0,0,0,0,99,0,0,0
2408802,0,2,1,0,0,12,99,6,2,0
2408811,0,1,2,1,50,12,5,3,2,0
2408817,0,1,1,1,55,57,18,7,2,0
2408818,0,2,1,0,0,8,99,2,2,0
2408819,0,0,0,0,0,0,99,0,0,0
2408834,0,2,0,0,0,7,99,4,2,0
2408838,0,2,0,0,0,1,99,3,2,0
2408849,0,1,1,1,59,0,13,5,2,0
2408857,0,1,1,1,20,8,4,6,2,0
2408859,1,1,2,1,46,99,22,8,2,0
2408874,0,2,2,0,0,7,99,8,2,0
2408876,0,1,1,1,50,6,16,6,2,0
2408877,0,0,0,0,0,0,99,0,0,0
2408884,0,1,1,1,59,12,11,9,2,0
2408885,0,2,1,0,0,16,99,7,2,0
2408890,0,1,1,0,35,1,8,3,2,0
2408891,0,2,0,0,0,16,99,3,2,0
2408908,0,2,0,0,0,4,99,4,2,0
2408916,0,2,0,0,0,5,99,3,1,0
2408920,0,1,1,1,59,8,18,6,2,0
2408921,0,1,1,0,50,7,7,4,2,0
2408922,0,1,1,0,53,14,18,4,2,0
2408929,0,0,0,0,0,0,99,0,0,0
2408930,0,0,0,0,0,0,99,0,0,0
2408938,0,1,1,1,54,9,7,5,2,0
2408939,0,1,2,0,59,11,13,6,2,0
2408941,0,1,2,0,59,6,27,4,2,0
2408951,0,1,1,1,25,0,4,3,2,0
2408955,0,1,1,0,18,12,8,5,2,0
2408956,0,0,0,0,0,0,99,0,0,0
2408959,0,0,0,0,0,0,99,0,0,0
2408972,0,1,1,0,59,15,11,6,2,0
2408978,0,0,0,0,0,0,99,0,0,0
2408982,0,1,1,1,40,7,13,6,2,0
2408984,0,1,2,0,40,11,4,4,2,0
2408985,0,1,1,1,50,8,8,6,2,0
2408987,0,1,1,1,40,28,6,9,2,0
2408988,0,2,2,0,0,7,99,5,2,0
2408992,0,1,1,0,59,1,8,7,2,0
2408993,0,1,1,1,24,4,5,5,2,0
2408996,0,2,1,0,0,24,99,5,2,0
2409024,0,2,2,0,0,57,99,3,2,0
2409032,0,1,1,1,58,6,8,7,2,0
2409038,0,1,1,1,34,4,4,6,2,0
2409040,0,2,1,0,0,3,99,6,2,0
2409064,0,0,0,0,0,0,99,0,0,0
2409072,0,2,0,0,0,2,99,2,2,0
2409076,0,2,1,0,0,9,99,3,2,0
2409087,0,0,0,0,0,0,99,0,0,0
2409089,0,1,1,0,52,11,5,5,2,0
2409090,0,1,1,1,38,7,7,7,2,0
2409093,0,1,2,2,59,15,13,7,2,0
2409095,0,2,1,0,0,3,99,3,2,0
2409097,0,1,1,2,30,4,9,5,2,0
2409105,0,1,1,1,50,12,11,7,2,0
2409107,0,1,1,2,50,12,13,7,2,0
2409111,0,1,1,2,35,10,7,5,2,0
2409116,0,2,1,0,0,4,99,6,2,0
2409117,0,1,1,0,38,4,11,4,2,0
2409118,0,1,1,2,59,12,6,5,2,0
2409120,0,0,0,0,0,0,99,0,0,0
2409124,0,1,1,0,46,1,3,3,2,0
2409128,0,1,1,0,30,99,2,2,1,0
2409132,0,2,0,0,0,7,99,4,2,0
2409140,0,1,1,0,8,10,6,4,2,0
2409142,0,1,1,0,34,7,11,5,2,0
2409149,0,1,1,1,45,8,9,5,2,0
2409150,0,1,1,1,40,5,11,6,2,0
2409166,0,2,0,0,0,12,99,6,2,0
2409180,0,2,0,0,0,6,99,4,2,0
2409189,0,1,1,0,30,17,6,7,2,0
2409191,0,1,1,1,27,7,7,5,2,0
2409192,0,1,1,1,45,16,16,6,2,0
2409201,0,1,1,2,30,6,11,3,2,0
2409204,0,1,1,0,59,3,27,7,2,0
2409206,0,1,1,0,59,3,4,4,2,0
2409217,0,1,1,1,50,14,11,7,2,0
2409218,0,1,1,2,50,10,8,7,2,0
2409229,0,1,1,0,29,5,1,4,2,0
2409234,0,0,0,0,0,0,99,0,0,0
2409239,0,2,2,0,0,3,99,9,2,0
2409241,0,1,1,2,21,6,3,6,2,0
2409250,0,2,1,0,0,12,99,5,2,0
2409254,0,2,1,0,0,0,99,4,2,0
2409258,0,2,1,0,0,6,99,4,2,0
2409264,0,2,1,0,0,9,99,5,2,0
2409278,0,1,1,0,30,4,2,4,2,0
2409285,0,1,1,0,46,9,7,4,2,0
2409298,0,1,1,0,44,7,6,7,2,0
2409299,0,1,1,1,30,12,13,8,2,0
2409308,0,1,2,0,41,20,27,6,2,0
2409317,0,1,1,1,44,9,6,9,2,0
2409322,0,1,2,2,59,5,16,6,2,0
2409330,0,1,1,2,45,7,11,8,2,0
2409332,0,1,1,0,59,8,11,4,2,0
2409338,0,2,1,0,0,4,99,3,2,0
2409339,0,1,1,2,40,6,16,6,2,0
2409343,0,1,2,2,12,12,11,6,2,0
2409344,0,2,1,0,0,4,99,4,2,0
2409351,0,1,1,1,59,20,35,8,2,0
2409355,0,1,1,1,45,7,7,5,2,0
2409357,0,1,1,1,43,6,8,5,2,0
2409366,0,1,2,2,59,8,9,5,2,0
2409368,0,1,1,2,59,12,27,7,2,0
2409377,0,2,1,0,0,7,99,6,2,0
2409380,0,1,1,1,59,13,18,7,2,0
2409383,0,2,1,0,0,6,99,5,2,0
2409385,0,1,1,1,50,12,7,5,2,0
2409388,0,1,2,1,59,11,22,5,2,0
2409391,0,1,2,0,50,99,11,3,2,0
2409400,0,1,1,0,59,6,22,3,2,0
2409407,0,0,0,0,0,0,99,0,0,0
2409411,0,1,1,0,59,17,13,5,2,0
2409414,0,1,1,1,59,8,8,5,2,0
2409418,0,2,1,0,0,7,99,8,2,0
2409425,0,1,1,1,40,12,8,6,2,0
2409427,0,1,2,1,59,57,62,7,2,0
2409433,0,1,1,2,59,12,13,8,2,0
2409439,0,1,1,0,54,5,5,4,2,0
2409448,0,1,1,0,26,6,8,5,2,0
2409455,0,2,1,0,0,18,99,8,2,0
2409457,0,0,0,0,0,0,99,0,0,0
2409459,0,1,1,0,59,6,16,6,2,0
2409463,0,1,1,2,42,8,11,5,2,0
2409465,0,1,1,1,45,5,8,5,2,0
2409469,0,1,1,1,48,3,11,8,2,0
2409488,0,1,1,0,50,6,13,8,2,0
2409491,0,1,2,2,59,24,16,3,2,0
2409504,0,2,1,0,0,3,99,2,2,0
2409513,0,1,1,0,34,7,3,4,2,0
2409522,0,1,1,2,50,12,13,6,2,0
2409530,0,1,1,1,50,4,16,5,2,0
2409552,0,1,1,1,42,15,5,6,2,0
2409571,0,0,0,0,0,0,99,0,0,0
2409575,0,0,0,0,0,0,99,0,0,0
2409585,0,1,1,1,59,20,22,7,2,0
2409587,0,2,2,0,0,15,99,6,2,0
2409592,0,2,2,0,0,8,99,8,2,0
2409597,0,2,2,0,0,14,99,4,2,0
2409612,0,2,0,0,0,3,99,3,2,0
2409619,0,1,1,1,59,13,13,9,2,0
2409621,0,1,1,0,25,3,3,6,2,0
