Mon Jun 10 00:23:54 2024       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.105.17   Driver Version: 525.105.17   CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla T4            On   | 00000000:06:00.0 Off |                    0 |
| N/A   37C    P8    15W /  70W |      0MiB / 15360MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([104, 4])
self.category_embeddings.weight.shape=torch.Size([104, 4])
epoch: 0, beta = 0.010000, Train MSE: 9.609559, Train CE:2.208353, Train KL:0.543726, Val MSE:7.430463, Val CE:2.243711, Train ACC:0.176566, Val ACC:0.171324
epoch: 1, beta = 0.010000, Train MSE: 6.187255, Train CE:2.267221, Train KL:0.679203, Val MSE:4.832837, Val CE:2.268029, Train ACC:0.146139, Val ACC:0.144872
epoch: 2, beta = 0.010000, Train MSE: 4.029562, Train CE:2.233054, Train KL:0.870736, Val MSE:3.137822, Val CE:2.181008, Train ACC:0.169938, Val ACC:0.172532
epoch: 3, beta = 0.010000, Train MSE: 2.587287, Train CE:2.153285, Train KL:1.192956, Val MSE:1.962476, Val CE:2.129071, Train ACC:0.183738, Val ACC:0.184298
epoch: 4, beta = 0.010000, Train MSE: 1.537952, Train CE:2.120142, Train KL:1.636324, Val MSE:1.062090, Val CE:2.114242, Train ACC:0.207794, Val ACC:0.211569
epoch: 5, beta = 0.010000, Train MSE: 0.799401, Train CE:2.102142, Train KL:2.087638, Val MSE:0.557983, Val CE:2.071930, Train ACC:0.250393, Val ACC:0.257587
epoch: 6, beta = 0.010000, Train MSE: 0.468743, Train CE:2.019508, Train KL:2.390173, Val MSE:0.390445, Val CE:1.936594, Train ACC:0.303363, Val ACC:0.306663
epoch: 7, beta = 0.010000, Train MSE: 0.353663, Train CE:1.872289, Train KL:2.490345, Val MSE:0.319254, Val CE:1.797484, Train ACC:0.327334, Val ACC:0.330037
epoch: 8, beta = 0.010000, Train MSE: 0.279651, Train CE:1.747471, Train KL:2.599245, Val MSE:0.235150, Val CE:1.682181, Train ACC:0.399503, Val ACC:0.414894
epoch: 9, beta = 0.010000, Train MSE: 0.212815, Train CE:1.628746, Train KL:2.771165, Val MSE:0.192250, Val CE:1.559162, Train ACC:0.459387, Val ACC:0.464413
epoch: 10, beta = 0.010000, Train MSE: 0.178294, Train CE:1.505866, Train KL:2.877011, Val MSE:0.165936, Val CE:1.438388, Train ACC:0.474072, Val ACC:0.476602
epoch: 11, beta = 0.010000, Train MSE: 0.157947, Train CE:1.386435, Train KL:2.991215, Val MSE:0.149411, Val CE:1.322103, Train ACC:0.573241, Val ACC:0.575477
epoch: 12, beta = 0.010000, Train MSE: 0.142584, Train CE:1.274212, Train KL:3.103626, Val MSE:0.135212, Val CE:1.215017, Train ACC:0.586412, Val ACC:0.590723
epoch: 13, beta = 0.010000, Train MSE: 0.130223, Train CE:1.168819, Train KL:3.202355, Val MSE:0.123490, Val CE:1.112656, Train ACC:0.647324, Val ACC:0.665274
epoch: 14, beta = 0.010000, Train MSE: 0.117992, Train CE:1.070498, Train KL:3.294071, Val MSE:0.111904, Val CE:1.019171, Train ACC:0.728065, Val ACC:0.728163
epoch: 15, beta = 0.010000, Train MSE: 0.107464, Train CE:0.979856, Train KL:3.370597, Val MSE:0.103403, Val CE:0.931548, Train ACC:0.740579, Val ACC:0.740829
