Sun Jun  9 16:35:28 2024       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.105.17   Driver Version: 525.105.17   CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla T4            On   | 00000000:06:00.0 Off |                    0 |
| N/A   36C    P8    15W /  70W |      0MiB / 15360MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([2, 4])
self.category_embeddings.weight.shape=torch.Size([2, 4])
epoch: 0, beta = 0.010000, Train MSE: 1.348397, Train CE:0.535591, Train KL:0.286158, Val MSE:1.125518, Val CE:0.456638, Train ACC:0.795362, Val ACC:0.809674
epoch: 1, beta = 0.010000, Train MSE: 1.080024, Train CE:0.417452, Train KL:0.344844, Val MSE:0.992007, Val CE:0.345542, Train ACC:0.899045, Val ACC:0.934805
epoch: 2, beta = 0.010000, Train MSE: 0.961783, Train CE:0.307608, Train KL:0.506084, Val MSE:0.907066, Val CE:0.234647, Train ACC:0.990450, Val ACC:0.997897
epoch: 3, beta = 0.010000, Train MSE: 0.874391, Train CE:0.203943, Train KL:0.711622, Val MSE:0.813850, Val CE:0.155798, Train ACC:0.998636, Val ACC:1.000000
epoch: 4, beta = 0.010000, Train MSE: 0.784903, Train CE:0.138265, Train KL:0.929479, Val MSE:0.732167, Val CE:0.104831, Train ACC:1.000000, Val ACC:1.000000
epoch: 5, beta = 0.010000, Train MSE: 0.706729, Train CE:0.091508, Train KL:1.131753, Val MSE:0.664534, Val CE:0.071978, Train ACC:1.000000, Val ACC:1.000000
epoch: 6, beta = 0.010000, Train MSE: 0.638945, Train CE:0.063785, Train KL:1.332225, Val MSE:0.597978, Val CE:0.049597, Train ACC:1.000000, Val ACC:1.000000
epoch: 7, beta = 0.010000, Train MSE: 0.571237, Train CE:0.043967, Train KL:1.521629, Val MSE:0.525697, Val CE:0.033419, Train ACC:1.000000, Val ACC:1.000000
epoch: 8, beta = 0.010000, Train MSE: 0.505624, Train CE:0.030014, Train KL:1.718299, Val MSE:0.460586, Val CE:0.024103, Train ACC:1.000000, Val ACC:1.000000
epoch: 9, beta = 0.010000, Train MSE: 0.438680, Train CE:0.022366, Train KL:1.896160, Val MSE:0.397639, Val CE:0.019076, Train ACC:1.000000, Val ACC:1.000000
epoch: 10, beta = 0.010000, Train MSE: 0.375670, Train CE:0.017947, Train KL:2.068303, Val MSE:0.334813, Val CE:0.016016, Train ACC:1.000000, Val ACC:1.000000
epoch: 11, beta = 0.010000, Train MSE: 0.316266, Train CE:0.015043, Train KL:2.244349, Val MSE:0.278253, Val CE:0.013325, Train ACC:1.000000, Val ACC:1.000000
epoch: 12, beta = 0.010000, Train MSE: 0.262998, Train CE:0.012809, Train KL:2.422901, Val MSE:0.230351, Val CE:0.011975, Train ACC:1.000000, Val ACC:1.000000
epoch: 13, beta = 0.010000, Train MSE: 0.218136, Train CE:0.011595, Train KL:2.585232, Val MSE:0.191047, Val CE:0.010558, Train ACC:1.000000, Val ACC:1.000000
epoch: 14, beta = 0.010000, Train MSE: 0.183612, Train CE:0.010037, Train KL:2.723945, Val MSE:0.161058, Val CE:0.008859, Train ACC:1.000000, Val ACC:1.000000
epoch: 15, beta = 0.010000, Train MSE: 0.156683, Train CE:0.008287, Train KL:2.850694, Val MSE:0.139267, Val CE:0.007484, Train ACC:1.000000, Val ACC:1.000000
epoch: 16, beta = 0.010000, Train MSE: 0.134446, Train CE:0.007261, Train KL:2.952069, Val MSE:0.120093, Val CE:0.006731, Train ACC:1.000000, Val ACC:1.000000
epoch: 17, beta = 0.010000, Train MSE: 0.116666, Train CE:0.006427, Train KL:3.033377, Val MSE:0.105906, Val CE:0.005843, Train ACC:1.000000, Val ACC:1.000000
epoch: 18, beta = 0.010000, Train MSE: 0.102078, Train CE:0.005694, Train KL:3.098089, Val MSE:0.093966, Val CE:0.005269, Train ACC:1.000000, Val ACC:1.000000
epoch: 19, beta = 0.010000, Train MSE: 0.090366, Train CE:0.005024, Train KL:3.143403, Val MSE:0.082741, Val CE:0.004530, Train ACC:1.000000, Val ACC:1.000000
epoch: 20, beta = 0.010000, Train MSE: 0.080915, Train CE:0.004343, Train KL:3.174669, Val MSE:0.075166, Val CE:0.003990, Train ACC:1.000000, Val ACC:1.000000
epoch: 21, beta = 0.010000, Train MSE: 0.072356, Train CE:0.003831, Train KL:3.193547, Val MSE:0.067100, Val CE:0.003539, Train ACC:1.000000, Val ACC:1.000000
epoch: 22, beta = 0.010000, Train MSE: 0.065403, Train CE:0.003406, Train KL:3.200699, Val MSE:0.060766, Val CE:0.003148, Train ACC:1.000000, Val ACC:1.000000
epoch: 23, beta = 0.010000, Train MSE: 0.059114, Train CE:0.003050, Train KL:3.199616, Val MSE:0.055421, Val CE:0.002862, Train ACC:1.000000, Val ACC:1.000000
epoch: 24, beta = 0.010000, Train MSE: 0.053371, Train CE:0.002777, Train KL:3.188636, Val MSE:0.050713, Val CE:0.002616, Train ACC:1.000000, Val ACC:1.000000
epoch: 25, beta = 0.010000, Train MSE: 0.048824, Train CE:0.002528, Train KL:3.173463, Val MSE:0.046093, Val CE:0.002397, Train ACC:1.000000, Val ACC:1.000000
epoch: 26, beta = 0.010000, Train MSE: 0.044869, Train CE:0.002351, Train KL:3.157903, Val MSE:0.043272, Val CE:0.002230, Train ACC:1.000000, Val ACC:1.000000
epoch: 27, beta = 0.010000, Train MSE: 0.041143, Train CE:0.002169, Train KL:3.144462, Val MSE:0.039358, Val CE:0.002073, Train ACC:1.000000, Val ACC:1.000000
epoch: 28, beta = 0.010000, Train MSE: 0.038045, Train CE:0.002026, Train KL:3.128323, Val MSE:0.036580, Val CE:0.001958, Train ACC:1.000000, Val ACC:1.000000
epoch: 29, beta = 0.010000, Train MSE: 0.035351, Train CE:0.001908, Train KL:3.115474, Val MSE:0.034332, Val CE:0.001848, Train ACC:1.000000, Val ACC:1.000000
