Mon Jun 10 00:24:05 2024       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.105.17   Driver Version: 525.105.17   CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla T4            On   | 00000000:06:00.0 Off |                    0 |
| N/A   51C    P8    17W /  70W |      0MiB / 15360MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([2, 4])
self.category_embeddings.weight.shape=torch.Size([2, 4])
epoch: 0, beta = 0.010000, Train MSE: 1.166134, Train CE:0.729895, Train KL:0.232413, Val MSE:1.048003, Val CE:0.510674, Train ACC:0.736699, Val ACC:0.748686
epoch: 1, beta = 0.010000, Train MSE: 1.018230, Train CE:0.425590, Train KL:0.267354, Val MSE:0.946525, Val CE:0.284832, Train ACC:0.871760, Val ACC:0.918507
epoch: 2, beta = 0.010000, Train MSE: 0.925736, Train CE:0.243162, Train KL:0.369464, Val MSE:0.855151, Val CE:0.157729, Train ACC:0.978172, Val ACC:0.986856
epoch: 3, beta = 0.010000, Train MSE: 0.834477, Train CE:0.129070, Train KL:0.528438, Val MSE:0.750343, Val CE:0.083726, Train ACC:0.998636, Val ACC:0.996845
epoch: 4, beta = 0.010000, Train MSE: 0.728864, Train CE:0.067092, Train KL:0.719028, Val MSE:0.642528, Val CE:0.043467, Train ACC:1.000000, Val ACC:1.000000
epoch: 5, beta = 0.010000, Train MSE: 0.629680, Train CE:0.036023, Train KL:0.924298, Val MSE:0.548663, Val CE:0.023488, Train ACC:0.998636, Val ACC:0.999474
epoch: 6, beta = 0.010000, Train MSE: 0.535231, Train CE:0.019885, Train KL:1.131941, Val MSE:0.464012, Val CE:0.014316, Train ACC:1.000000, Val ACC:0.999474
epoch: 7, beta = 0.010000, Train MSE: 0.448674, Train CE:0.011901, Train KL:1.320755, Val MSE:0.379275, Val CE:0.008696, Train ACC:1.000000, Val ACC:1.000000
epoch: 8, beta = 0.010000, Train MSE: 0.365383, Train CE:0.007395, Train KL:1.488635, Val MSE:0.303297, Val CE:0.006256, Train ACC:1.000000, Val ACC:1.000000
epoch: 9, beta = 0.010000, Train MSE: 0.293076, Train CE:0.005106, Train KL:1.645368, Val MSE:0.245233, Val CE:0.004498, Train ACC:0.998636, Val ACC:1.000000
epoch: 10, beta = 0.010000, Train MSE: 0.237014, Train CE:0.003939, Train KL:1.794864, Val MSE:0.206620, Val CE:0.003628, Train ACC:1.000000, Val ACC:1.000000
epoch: 11, beta = 0.010000, Train MSE: 0.199889, Train CE:0.003227, Train KL:1.940294, Val MSE:0.174513, Val CE:0.003171, Train ACC:1.000000, Val ACC:1.000000
epoch: 12, beta = 0.010000, Train MSE: 0.171541, Train CE:0.002689, Train KL:2.076653, Val MSE:0.151670, Val CE:0.002621, Train ACC:1.000000, Val ACC:1.000000
epoch: 13, beta = 0.010000, Train MSE: 0.150027, Train CE:0.002456, Train KL:2.193249, Val MSE:0.133426, Val CE:0.002484, Train ACC:1.000000, Val ACC:1.000000
epoch: 14, beta = 0.010000, Train MSE: 0.132260, Train CE:0.002282, Train KL:2.287881, Val MSE:0.118589, Val CE:0.002406, Train ACC:1.000000, Val ACC:1.000000
epoch: 15, beta = 0.010000, Train MSE: 0.117988, Train CE:0.002133, Train KL:2.370276, Val MSE:0.106192, Val CE:0.002093, Train ACC:1.000000, Val ACC:1.000000
epoch: 16, beta = 0.010000, Train MSE: 0.106015, Train CE:0.001925, Train KL:2.440716, Val MSE:0.096008, Val CE:0.001928, Train ACC:1.000000, Val ACC:1.000000
epoch: 17, beta = 0.010000, Train MSE: 0.095995, Train CE:0.001718, Train KL:2.504373, Val MSE:0.088151, Val CE:0.001749, Train ACC:1.000000, Val ACC:1.000000
epoch: 18, beta = 0.010000, Train MSE: 0.088489, Train CE:0.001519, Train KL:2.558054, Val MSE:0.081414, Val CE:0.001494, Train ACC:1.000000, Val ACC:1.000000
epoch: 19, beta = 0.010000, Train MSE: 0.081840, Train CE:0.001366, Train KL:2.607000, Val MSE:0.075774, Val CE:0.001313, Train ACC:1.000000, Val ACC:1.000000
epoch: 20, beta = 0.010000, Train MSE: 0.075825, Train CE:0.001100, Train KL:2.650398, Val MSE:0.070377, Val CE:0.001004, Train ACC:1.000000, Val ACC:1.000000
epoch: 21, beta = 0.010000, Train MSE: 0.070981, Train CE:0.000971, Train KL:2.688358, Val MSE:0.065637, Val CE:0.000963, Train ACC:1.000000, Val ACC:1.000000
epoch: 22, beta = 0.010000, Train MSE: 0.066151, Train CE:0.000861, Train KL:2.721119, Val MSE:0.061621, Val CE:0.001091, Train ACC:1.000000, Val ACC:1.000000
epoch: 23, beta = 0.010000, Train MSE: 0.062202, Train CE:0.000772, Train KL:2.750599, Val MSE:0.058335, Val CE:0.000799, Train ACC:1.000000, Val ACC:1.000000
epoch: 24, beta = 0.010000, Train MSE: 0.058473, Train CE:0.000680, Train KL:2.776409, Val MSE:0.055245, Val CE:0.000711, Train ACC:1.000000, Val ACC:1.000000
