Sun Jun  9 16:35:32 2024       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.105.17   Driver Version: 525.105.17   CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla T4            On   | 00000000:06:00.0 Off |                    0 |
| N/A   38C    P8    16W /  70W |      0MiB / 15360MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([13, 4])
self.category_embeddings.weight.shape=torch.Size([13, 4])
epoch: 0, beta = 0.010000, Train MSE: 4.235929, Train CE:2.081520, Train KL:0.438195, Val MSE:3.948878, Val CE:1.909035, Train ACC:0.215733, Val ACC:0.229004
epoch: 1, beta = 0.010000, Train MSE: 3.845519, Train CE:1.866171, Train KL:0.635401, Val MSE:3.566494, Val CE:1.834266, Train ACC:0.249399, Val ACC:0.241488
epoch: 2, beta = 0.010000, Train MSE: 3.459237, Train CE:1.809009, Train KL:1.045290, Val MSE:3.184443, Val CE:1.769699, Train ACC:0.313810, Val ACC:0.321438
epoch: 3, beta = 0.010000, Train MSE: 3.074898, Train CE:1.724954, Train KL:1.547299, Val MSE:2.803931, Val CE:1.667205, Train ACC:0.389213, Val ACC:0.398235
epoch: 4, beta = 0.010000, Train MSE: 2.684872, Train CE:1.596979, Train KL:2.056828, Val MSE:2.421517, Val CE:1.506619, Train ACC:0.443318, Val ACC:0.449559
epoch: 5, beta = 0.010000, Train MSE: 2.308511, Train CE:1.420188, Train KL:2.575346, Val MSE:2.066113, Val CE:1.333718, Train ACC:0.534009, Val ACC:0.541992
epoch: 6, beta = 0.010000, Train MSE: 1.960537, Train CE:1.254096, Train KL:3.029469, Val MSE:1.738820, Val CE:1.176111, Train ACC:0.618172, Val ACC:0.634300
epoch: 7, beta = 0.010000, Train MSE: 1.642590, Train CE:1.096642, Train KL:3.407760, Val MSE:1.446105, Val CE:1.014311, Train ACC:0.677087, Val ACC:0.668600
epoch: 8, beta = 0.010000, Train MSE: 1.364905, Train CE:0.935918, Train KL:3.740489, Val MSE:1.205081, Val CE:0.852507, Train ACC:0.687221, Val ACC:0.682472
epoch: 9, beta = 0.010000, Train MSE: 1.133463, Train CE:0.786364, Train KL:4.090227, Val MSE:0.992321, Val CE:0.721469, Train ACC:0.703882, Val ACC:0.705549
epoch: 10, beta = 0.010000, Train MSE: 0.925667, Train CE:0.669036, Train KL:4.409999, Val MSE:0.806144, Val CE:0.616281, Train ACC:0.752491, Val ACC:0.752333
epoch: 11, beta = 0.010000, Train MSE: 0.753220, Train CE:0.572762, Train KL:4.666250, Val MSE:0.657299, Val CE:0.527707, Train ACC:0.826692, Val ACC:0.836696
epoch: 12, beta = 0.010000, Train MSE: 0.618463, Train CE:0.489235, Train KL:4.857131, Val MSE:0.542094, Val CE:0.450042, Train ACC:0.930436, Val ACC:0.932282
epoch: 13, beta = 0.010000, Train MSE: 0.511270, Train CE:0.416388, Train KL:5.039529, Val MSE:0.449452, Val CE:0.382629, Train ACC:0.950017, Val ACC:0.947289
epoch: 14, beta = 0.010000, Train MSE: 0.425545, Train CE:0.352887, Train KL:5.199347, Val MSE:0.374944, Val CE:0.323749, Train ACC:0.951048, Val ACC:0.949180
epoch: 15, beta = 0.010000, Train MSE: 0.356591, Train CE:0.297995, Train KL:5.351843, Val MSE:0.316599, Val CE:0.272337, Train ACC:0.948471, Val ACC:0.951324
epoch: 16, beta = 0.010000, Train MSE: 0.300623, Train CE:0.251584, Train KL:5.494214, Val MSE:0.266385, Val CE:0.231417, Train ACC:0.961869, Val ACC:0.955990
epoch: 17, beta = 0.010000, Train MSE: 0.254012, Train CE:0.212697, Train KL:5.617493, Val MSE:0.225873, Val CE:0.195285, Train ACC:0.961869, Val ACC:0.960656
epoch: 18, beta = 0.010000, Train MSE: 0.215299, Train CE:0.180115, Train KL:5.724139, Val MSE:0.191326, Val CE:0.165986, Train ACC:0.961010, Val ACC:0.962926
epoch: 19, beta = 0.010000, Train MSE: 0.183317, Train CE:0.152600, Train KL:5.807919, Val MSE:0.163602, Val CE:0.141179, Train ACC:0.964961, Val ACC:0.963178
epoch: 20, beta = 0.010000, Train MSE: 0.156921, Train CE:0.130169, Train KL:5.869766, Val MSE:0.140803, Val CE:0.121225, Train ACC:0.969598, Val ACC:0.965574
epoch: 21, beta = 0.010000, Train MSE: 0.135906, Train CE:0.112045, Train KL:5.912028, Val MSE:0.123040, Val CE:0.104842, Train ACC:0.970972, Val ACC:0.975536
epoch: 22, beta = 0.010000, Train MSE: 0.119385, Train CE:0.097413, Train KL:5.945456, Val MSE:0.108998, Val CE:0.091991, Train ACC:0.985057, Val ACC:0.983859
epoch: 23, beta = 0.010000, Train MSE: 0.106098, Train CE:0.085353, Train KL:5.968480, Val MSE:0.097304, Val CE:0.080941, Train ACC:0.990553, Val ACC:0.994451
epoch: 24, beta = 0.010000, Train MSE: 0.094865, Train CE:0.075248, Train KL:5.973806, Val MSE:0.087690, Val CE:0.071704, Train ACC:0.997080, Val ACC:0.997730
epoch: 25, beta = 0.010000, Train MSE: 0.085984, Train CE:0.066504, Train KL:5.969654, Val MSE:0.080017, Val CE:0.063448, Train ACC:0.997939, Val ACC:0.999117
epoch: 26, beta = 0.010000, Train MSE: 0.078848, Train CE:0.058982, Train KL:5.955095, Val MSE:0.073698, Val CE:0.056333, Train ACC:0.999313, Val ACC:0.999748
epoch: 27, beta = 0.010000, Train MSE: 0.072864, Train CE:0.052437, Train KL:5.930219, Val MSE:0.068137, Val CE:0.050218, Train ACC:0.999828, Val ACC:0.999874
epoch: 28, beta = 0.010000, Train MSE: 0.067581, Train CE:0.046725, Train KL:5.899013, Val MSE:0.063569, Val CE:0.044859, Train ACC:0.999828, Val ACC:1.000000
epoch: 29, beta = 0.010000, Train MSE: 0.063117, Train CE:0.041735, Train KL:5.860077, Val MSE:0.059737, Val CE:0.040002, Train ACC:0.999828, Val ACC:1.000000
epoch: 30, beta = 0.010000, Train MSE: 0.059204, Train CE:0.037329, Train KL:5.814686, Val MSE:0.055915, Val CE:0.035821, Train ACC:1.000000, Val ACC:1.000000
epoch: 31, beta = 0.010000, Train MSE: 0.055725, Train CE:0.033402, Train KL:5.769019, Val MSE:0.052802, Val CE:0.031994, Train ACC:1.000000, Val ACC:1.000000
epoch: 32, beta = 0.010000, Train MSE: 0.052842, Train CE:0.030053, Train KL:5.717282, Val MSE:0.050247, Val CE:0.028990, Train ACC:1.000000, Val ACC:1.000000
epoch: 33, beta = 0.010000, Train MSE: 0.050123, Train CE:0.027070, Train KL:5.663683, Val MSE:0.047544, Val CE:0.026144, Train ACC:1.000000, Val ACC:1.000000
epoch: 34, beta = 0.010000, Train MSE: 0.047680, Train CE:0.024548, Train KL:5.608762, Val MSE:0.045521, Val CE:0.023763, Train ACC:1.000000, Val ACC:1.000000
